gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
ATF4,1.55E-66,-0.268408091,0.268,0.532,5.05E-62,2.07E-66,61.29638351,65.68417942,NA,NA,NO,61.29638351,NA
ATF6B,0.397502545,0.269089262,0.231,0.282,1,0.404772503,0,0.392788998,NA,NA,NO,0,NA
ATG3,2.41E-89,-0.256955727,0.088,0.318,7.82E-85,4.27E-89,84.10660468,88.36957345,NA,NA,NO,84.10660468,NA
ATOX1,1.48E-150,-0.532581353,0.242,0.605,4.81E-146,7.83E-150,145.318174,149.1062475,NA,NA,DOWN,145.318174,NA
ATP1B3,2.45E-91,-0.316752444,0.194,0.471,7.95E-87,4.48E-91,86.0998188,90.34872564,NA,NA,NO,86.0998188,NA
ATP2B1,1.19E-95,-0.458364516,0.177,0.441,3.88E-91,2.36E-95,90.41082811,94.62620052,NA,NA,NO,90.41082811,NA
ATP5F1A,1.51E-63,-0.28723283,0.369,0.636,4.92E-59,1.97E-63,58.30812661,62.70618061,NA,NA,NO,58.30812661,NA
ATP5F1B,2.05E-119,-0.533161707,0.329,0.646,6.66E-115,6.27E-119,114.1763068,118.2024418,NA,NA,DOWN,114.1763068,NA
ATP5F1C,1.88E-148,-0.498059052,0.209,0.566,6.10E-144,9.55E-148,143.2150172,147.0200728,NA,NA,NO,143.2150172,NA
ATP5F1D,5.27E-96,-0.474914804,0.268,0.545,1.71E-91,1.05E-95,90.76643847,94.97831051,NA,NA,NO,90.76643847,NA
ATP5F1E,1.99E-195,-0.666671178,0.672,0.945,6.48E-191,2.26E-194,190.1883652,193.6450647,NA,NA,DOWN,190.1883652,NA
ATP5IF1,1.21E-72,-0.272257156,0.314,0.597,3.94E-68,1.67E-72,67.40415537,71.77696237,NA,NA,NO,67.40415537,NA
ATP5MC1,1.50E-107,-0.443071494,0.312,0.631,4.87E-103,3.69E-107,102.3125624,106.4331364,NA,NA,NO,102.3125624,NA
ATP5MC2,5.92E-133,-0.526400471,0.516,0.859,1.93E-128,2.23E-132,127.7155445,131.6512659,NA,NA,DOWN,127.7155445,NA
ATP5MC3,3.12E-206,-0.780791699,0.378,0.748,1.01E-201,4.24E-205,200.9935734,204.3722331,NA,NA,DOWN,200.9935734,NA
ATP5MD,9.08E-130,-0.455961528,0.342,0.704,2.95E-125,3.25E-129,124.5298004,128.4886035,NA,NA,NO,124.5298004,NA
ATP5ME,3.20E-122,-0.491209826,0.451,0.808,1.04E-117,1.03E-121,116.9830034,120.9870241,NA,NA,NO,116.9830034,NA
ATP5MF,3.08E-167,-0.627086905,0.472,0.823,1.00E-162,2.13E-166,161.9997444,165.6725404,NA,NA,DOWN,161.9997444,NA
ATP5MG,2.22E-110,-0.451303421,0.541,0.856,7.23E-106,5.80E-110,105.1409764,109.2366903,NA,NA,NO,105.1409764,NA
ATP5MPL,1.64E-157,-0.575432252,0.39,0.762,5.32E-153,1.01E-156,152.2742784,155.9947386,NA,NA,DOWN,152.2742784,NA
ATP5PB,1.51E-190,-0.625251009,0.196,0.586,4.89E-186,1.61E-189,185.3104933,188.7921751,NA,NA,DOWN,185.3104933,NA
ATP5PD,8.94E-119,-0.396230708,0.276,0.615,2.91E-114,2.72E-118,113.5366565,117.5658608,NA,NA,NO,113.5366565,NA
ATP5PF,9.20E-183,-0.644584789,0.395,0.778,2.99E-178,8.23E-182,177.5242467,181.0846599,NA,NA,DOWN,177.5242467,NA
ATP5PO,3.82E-154,-0.62840726,0.364,0.724,1.24E-149,2.16E-153,148.9057706,152.666348,NA,NA,DOWN,148.9057706,NA
ATP6AP2,6.50E-94,-0.304626041,0.196,0.486,2.11E-89,1.25E-93,88.67495426,92.9040527,NA,NA,NO,88.67495426,NA
ATP6V0B,3.12E-158,-0.596415695,0.271,0.636,1.02E-153,1.95E-157,152.9932694,156.7106051,NA,NA,DOWN,152.9932694,NA
ATP6V0C,6.58E-115,-0.452049782,0.329,0.658,2.14E-110,1.86E-114,109.6696047,113.7297905,NA,NA,NO,109.6696047,NA
ATP6V0E1,1.56E-143,-0.577648666,0.358,0.719,5.07E-139,7.07E-143,138.2946168,142.1503977,NA,NA,DOWN,138.2946168,NA
ATP6V0E2,1.78E-46,-0.267252023,0.211,0.404,5.80E-42,2.11E-46,41.23664935,45.6761555,NA,NA,NO,41.23664935,NA
ATP6V1D,4.26E-129,-0.405505691,0.097,0.389,1.38E-124,1.51E-128,123.8585943,127.8200865,NA,NA,NO,123.8585943,NA
ATP6V1E1,2.53E-112,-0.355400566,0.094,0.359,8.22E-108,6.85E-112,107.0849347,111.1646113,NA,NA,NO,107.0849347,NA
ATP6V1F,4.20E-178,-0.635739339,0.337,0.73,1.37E-173,3.47E-177,172.864613,176.4596153,NA,NA,DOWN,172.864613,NA
ATP6V1G1,4.68E-150,-0.512197444,0.378,0.762,1.52E-145,2.46E-149,144.8183018,148.6090316,NA,NA,DOWN,144.8183018,NA
ATRAID,5.83E-142,-0.49172157,0.219,0.569,1.89E-137,2.56E-141,136.7224372,140.5916857,NA,NA,NO,136.7224372,NA
ATXN10,3.10E-97,-0.324529365,0.12,0.375,1.01E-92,6.32E-97,91.99680632,96.19903261,NA,NA,NO,91.99680632,NA
AURKAIP1,2.49E-98,-0.359134049,0.266,0.574,8.08E-94,5.23E-98,93.09267522,97.2818743,NA,NA,NO,93.09267522,NA
AVIL,0.000351444,0.260557659,0.12,0.102,1,0.000367854,0,3.43432431,NA,NA,NO,0,NA
B2M,1.45E-168,-0.960365513,0.804,0.913,4.72E-164,1.02E-167,163.3258944,166.9899164,NA,NA,DOWN,163.3258944,NA
