"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAP43",4.00007951562789e-221,-2.56229317916156,0.118,0.622,1.261105068892e-216
"RPL27A",2.45350678027259e-220,-1.29389129203011,0.807,0.973,7.73517082616539e-216
"RPS27A",5.64467164073655e-220,-1.01207080331598,0.886,0.98,1.77959562817501e-215
"LPAR1",9.0998853397579e-220,0.969704973126937,0.284,0.06,2.86892085106547e-215
"RPS24",5.65511266139833e-218,-1.27576509436941,0.754,0.966,1.78288736875905e-213
"RETREG1",7.01281350860048e-218,1.29002590327633,0.459,0.154,2.21092971485647e-213
"ITPK1",7.93888249448569e-216,1.02712392594104,0.322,0.076,2.5028914840365e-211
"KIAA1755",9.46963244146518e-216,0.461746828199023,0.119,0.011,2.98549101982073e-211
"NUAK1",3.87986071608668e-215,0.942466828502141,0.298,0.065,1.22320368796065e-210
"ABHD17B",2.22463109772834e-214,0.959584070706614,0.29,0.063,7.01359446180813e-210
"RPL23A",4.57483890436399e-214,-1.09775847417462,0.822,0.969,1.44230946137884e-209
"OMG",2.23990430536855e-213,1.09126649954038,0.414,0.119,7.06174630353542e-209
"RPL13A",9.63037903803225e-213,-1.2536048914109,0.953,0.988,3.03616959932043e-208
"RNF220",6.3260547335295e-212,1.19640374750376,0.39,0.114,1.99441527583985e-207
"LDHA",1.02530183164059e-210,-1.60069574750287,0.286,0.746,3.2324690846133e-206
"IPO13",1.10101636346954e-210,1.0213014032382,0.292,0.065,3.47117428911043e-206
"HEPACAM",1.37454270824131e-208,1.21455747653483,0.452,0.145,4.33352079627237e-204
"SPARCL1",1.13089452711732e-207,-3.29920352797932,0.11,0.593,3.56537117564278e-203
"SYT11",2.13927753861685e-207,1.3559487889548,0.726,0.439,6.74450029599734e-203
"RPS6KA5",7.02341767745406e-207,0.906522881232889,0.273,0.057,2.21427289117094e-202
"DLG1",2.38359448272965e-206,1.30143842209072,0.474,0.17,7.51475832570176e-202
"LINC00639",2.53182033573831e-206,0.447146332923134,0.103,0.008,7.98206997248216e-202
"S100A10",5.41927373484305e-205,-2.58656447212079,0.146,0.624,1.70853443038397e-200
"DPYSL5",6.35267796868798e-205,1.15554430845082,0.364,0.1,2.00280878318826e-200
"RPS20",3.45482569867508e-203,-1.20397853280162,0.768,0.965,1.08920289802129e-198
"HSPB1",1.28952873275631e-201,-1.73029547017834,0.24,0.714,4.06549723576081e-197
"MAN2A2",4.60046890609198e-201,0.86208777138035,0.242,0.047,1.45038983202362e-196
"MXI1",1.21255025633556e-200,1.25043066660434,0.453,0.156,3.82280719314911e-196
