"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPIC",0,-0.383611362495026,0.502,0.862,0,"4","PPIC"
"AL390755.1",0,-0.385256821268198,0.443,0.794,0,"4","AL390755.1"
"TRIM47",0,-0.393265347748297,0.445,0.696,0,"4","TRIM47"
"LIX1",0,-0.399217452717976,0.468,0.755,0,"4","LIX1"
"IFI27",0,-0.402438238454417,0.478,0.855,0,"4","IFI27"
"OLIG1",0,-0.417744557160797,0.303,0.615,0,"4","OLIG1"
"LDLR",0,-0.420774577291331,0.384,0.806,0,"4","LDLR"
"SERPING1",0,-0.432140195896234,0.464,0.843,0,"4","SERPING1"
"CITED1",0,-0.432775023269006,0.476,0.733,0,"4","CITED1"
"IRF1",0,-0.438542148342968,0.489,0.758,0,"4","IRF1"
"CA12",0,-0.442087708614812,0.458,0.747,0,"4","CA12"
"SLC1A2",0,-0.448189151492814,0.381,0.747,0,"4","SLC1A2"
"GATM",0,-0.448444188342111,0.592,0.859,0,"4","GATM"
"CD82",0,-0.449008198115935,0.487,0.815,0,"4","CD82"
"MER4C",0,-0.450662644211777,0.469,0.754,0,"4","MER4C"
"RASD1",0,-0.452002167825374,0.443,0.764,0,"4","RASD1"
"S100A13",0,-0.453943316507094,0.519,0.825,0,"4","S100A13"
"SERPINH1",0,-0.468009660647697,0.496,0.861,0,"4","SERPINH1"
"EGLN3",0,-0.470305246023497,0.518,0.816,0,"4","EGLN3"
"NTM",0,-0.474049965968204,0.364,0.655,0,"4","NTM"
"SLC3A2",0,-0.477121420761999,0.508,0.818,0,"4","SLC3A2"
"LGALS3BP",0,-0.479675368872014,0.44,0.744,0,"4","LGALS3BP"
"GPR37",0,-0.480500400010072,0.494,0.816,0,"4","GPR37"
"SEMA5A",0,-0.483172379933674,0.462,0.714,0,"4","SEMA5A"
"MYLK",0,-0.484709134411905,0.523,0.854,0,"4","MYLK"
"TPD52L1",0,-0.490545687906209,0.628,0.883,0,"4","TPD52L1"
"WARS",0,-0.490643089256608,0.498,0.851,0,"4","WARS"
